level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	103	-1	
2	1	1	0	0	0	23	26	555	51	-1	
3	1	1	1	0	0	23	26	555	51	-1	
4	1	1	1	1	0	23	26	555	22	-1	
5	1	1	1	1	1	23	26	44	17	86	This
5	1	1	1	1	2	76	26	15	17	86	is
5	1	1	1	1	3	99	30	57	13	86	some
5	1	1	1	1	4	164	26	42	21	73	text,
5	1	1	1	1	5	215	26	70	17	82	written
5	1	1	1	1	6	295	26	15	17	95	in
5	1	1	1	1	7	317	26	52	21	73	Arial,
5	1	1	1	1	8	378	26	40	17	80	that
5	1	1	1	1	9	425	26	32	17	95	will
5	1	1	1	1	10	467	26	24	17	85	be
5	1	1	1	1	11	500	26	45	17	87	read
5	1	1	1	1	12	555	26	23	22	85	by
4	1	1	1	2	0	23	54	513	23	-1	
5	1	1	1	2	1	23	55	107	17	82	Tesseract.
5	1	1	1	2	2	140	55	49	17	91	Here
5	1	1	1	2	3	198	59	32	13	86	are
5	1	1	1	2	4	239	59	57	13	86	some
5	1	1	1	2	5	304	55	92	22	86	symbols:
5	1	1	1	2	6	407	54	129	23	65	!@#$%"&‘()
